"word","freq"
"assembly constituency",41
"rajarajeshwari nagar",41
"bus shelter",39
"nagar assembly",39
"drinking water",38
"pure drinking",38
"shelter construction",37
"bangalore urban",29
"urban district",29
"bus station",24
"ward rajarajeshwari",23
"construction work",22
"building wi",20
"commissioning operation",20
"constituency bangalore",20
"supply commissioning",20
"unit building",20
"water unit",20
"wi supply",20
"lph removal",18
"water plant",18
"removal tds",16
"station ward",15
"bus stand",14
"construction pure",14
"nitrates etc",14
"capacity lph",12
"district rajarajeshwari",12
"maintenace pure",12
"operation maintenace",12
"plant capacity",12
"construction works",10
"lakshmidevi nagara",10
"ward lakshmidevi",10
"constituency ward",8
"three wheeler",8
"stand near",7
"atimate construction",6
"construction gallery",6
"contruction pure",6
"fllorides niatrates",6
"flourides nitrates",6
"gallery kengunte",6
"gnanabharathi stage",6
"ground war",6
"ity lph",6
"kengunte palya",6
"maintanence pure",6
"niatrates etc",6
"operation maintanence",6
"palya ground",6
"plant ity",6
"proposed atimate",6
"tds fllorides",6
"tds flourides",6
"war gnanabharathi",6
"work bus",6
"jnanabharthu ward",5
"layout ward",5
"wheeler vehicle",5
"works bangalore",5
"drive vehicle",4
"flouides nitrates",4
"tds flouides",4
"three wheel",4
"vehicle purchase",4
"ward laggere",4
"wheel drive",4
"bangalore city",3
"bunk ward",3
"circle bus",3
"city district",3
"complex bus",3
"junction bus",3
"main road",3
"road bus",3
"temple bus",3
"wheeler purchase",3
"bangalore three",2
"bhuvaneshwari nagara",2
"bin late",2
"constituency bus",2
"construction workshop",2
"etc bhuvaneshwari",2
"etc guraguntepalya",2
"etc kaverinagara",2
"etc laggere",2
"etc lgramanna",2
"etc nandhini",2
"etc sanjaya",2
"flovides nitrates",2
"fluorides nitrates",2
"gandhinagara ward",2
"guraguntepalya old",2
"high school",2
"jnanabharathi ward",2
"kaverinagara ward",2
"laggere village",2
"layout bangalore",2
"layout jnanabharthu",2
"lgramanna layout",2
"magadi road",2
"m bin",2
"nagara ward",2
"nandhini layout",2
"near peenya",2
"near water",2
"old vllage",2
"operation fluorides",2
"patrol bunk",2
"peenya sr",2
"post magadi",2
"rajarajeshwarnagar assembly",2
"removal trs",2
"sanjaya gandhinagara",2
"sr patrol",2
"stand ward",2
"station bangalore",2
"station near",2
"trs flovides",2
"village ward",2
"viswanadam post",2
"vllage ward",2
"ward nagarabavi",2
"ward ward",2
"water tank",2
"works bmme",2
"allamma temple",1
"anand bin",1
"arch bus",1
"arunachala layout",1
"arun kumar",1
"ayyappaswamy temple",1
"baan three",1
"backside nammuathidi",1
"baghavadheerahalli uttarahalli",1
"balaji nagar",1
"balakrishna three",1
"bangalore block",1
"bangalore municipal",1
"bangarappanagar bus",1
"basaveshwara circle",1
"bell three",1
"beml layout",1
"bemu three",1
"benchkalpalya jnanabharthu",1
"bhairaveshwarnagar jnanabharathi",1
"bin balakrishna",1
"bin chandrappa",1
"bin gopi",1
"bin mahadevappa",1
"bin munnarayanaappa",1
"bin rudrayaiah",1
"bin shivalingaiah",1
"bin vishakante",1
"block ksdb",1
"block ngef",1
"block tumkur",1
"bmme complex",1
"bmme gate",1
"bmme layout",1
"bmml layout",1
"bmtc movie",1
"bmw s",1
"bought three",1
"brick stand",1
"bus bus",1
"bus shell",1
"bus stop",1
"bv anand",1
"bv bin",1
"c bin",1
"chanasandra bus",1
"chandrappa cross",1
"chowdeshwari bus",1
"circle junction",1
"club road",1
"constructed bus",1
"construction bangalore",1
"construction bus",1
"construction necessary",1
"construction rajarajeshwari",1
"construction unani",1
"corporation rajarajeshwari",1
"costume bin",1
"cross rajiv",1
"deepa complex",1
"d group",1
"dipa complex",1
"durgasree hotel",1
"estate bus",1
"etc arunachala",1
"etc backside",1
"etc iti",1
"etc jnanaganganagar",1
"etc kenguntte",1
"etc narasapura",1
"facility peenya",1
"gandhi nagar",1
"gate basaveshwara",1
"gopi m",1
"gorugentepalya mes",1
"goruguntaleya road",1
"government transport",1
"gowda sumanahalli",1
"group layout",1
"hanuman m",1
"harshi ji",1
"heal traffic",1
"highway wardha",1
"hospital side",1
"industrial estate",1
"institute psychotherapy",1
"institute ward",1
"iti layout",1
"jahahalli circle",1
"jahahalli west",1
"jaibuneshwarnagar government",1
"j block",1
"jewelers rajarajeshwari",1
"ji bin",1
"jnanaganganagar jnanabharthu",1
"kankunte circle",1
"katanagar nd",1
"kenguntte jnanabharthu",1
"krishna jewelers",1
"ksdb quatrous",1
"kumar m",1
"ku suma",1
"lakgere circle",1
"late tk",1
"late venkatesayya",1
"layout brick",1
"layout jnanabharathi",1
"layout range",1
"layout stage",1
"luggage bangalore",1
"mahadevappa three",1
"mahesh bv",1
"mahesh c",1
"marappa layout",1
"marg bus",1
"mariamma temple",1
"m bhairaveshwarnagar",1
"mcdowells peenya",1
"medison bus",1
"mes bus",1
"mes main",1
"mes road",1
"movie bus",1
"mr arun",1
"mr bv",1
"mr hanuman",1
"mr harshi",1
"mr mahesh",1
"m road",1
"mr ratnakar",1
"mr shivarajappa",1
"mrs tejaswini",1
"mr ts",1
"municipal corporation",1
"munnarayanaappa bought",1
"muttilanagar station",1
"nagarabavi club",1
"nagarabavi ring",1
"nagar arch",1
"nagarbahvavi block",1
"nagarbhavi ward",1
"nagar bus",1
"nagar luggage",1
"nagar ward",1
"nammuathidi nagarbahvavi",1
"nandanahalli junction",1
"nandini layout",1
"narasapura benchkalpalya",1
"national highway",1
"national institute",1
"nd stage",1
"near bangalore",1
"near krishna",1
"near mcdowells",1
"near shiva",1
"near taj",1
"near ullal",1
"necessary rooms",1
"new facility",1
"new road",1
"ngef layout",1
"ns mes",1
"okkilagar high",1
"opposite wrestlemania",1
"peena srs",1
"peenya bangalore",1
"peenya industrial",1
"peenya national",1
"petrol bunk",1
"primary high",1
"psychotherapy viswanadam",1
"purchase sri",1
"purchase three",1
"quatrous jaibuneshwarnagar",1
"rajarajeshwari temple",1
"rajeshwari senior",1
"rajeshwari vidyalashala",1
"rajiv gandhi",1
"ramakrishna bin",1
"range rajarajeshwari",1
"ratnakar saman",1
"renukha allamma",1
"ring road",1
"road bell",1
"road bemu",1
"road durgasree",1
"road marg",1
"road mes",1
"road near",1
"road okkilagar",1
"road petrol",1
"road upstairs",1
"road ward",1
"rudrayaiah sumanahalli",1
"saman bin",1
"s beml",1
"school bus",1
"school theater",1
"senior primary",1
"shanimahatma temple",1
"shell construction",1
"shelter bus",1
"shelter constructed",1
"shivarajappa stm",1
"shiva temple",1
"side nandini",1
"s new",1
"somayya costume",1
"sri mariamma",1
"sri rajeshwari",1
"sri ramakrishna",1
"sri renukha",1
"srs new",1
"stage bus",1
"stage jahahalli",1
"stand bus",1
"stand opposite",1
"stand rajarajeshwari",1
"station bmme",1
"station nagarbhavi",1
"stm bmw",1
"stop ward",1
"suma baan",1
"sumanahalli institute",1
"sumanahalli junction",1
"sumanahalli viswanadam",1
"taj hotel",1
"tank bus",1
"tejaswini tpcom",1
"temple goruguntaleya",1
"temple j",1
"temple katanagar",1
"theater construction",1
"tk sadashivanna",1
"tpcom ullasg",1
"traffic main",1
"transport hospital",1
"trust sri",1
"ts umapati",1
"tumkur road",1
"ullal road",1
"ullasg three",1
"umapati bin",1
"unani medison",1
"upstairs bus",1
"uttarahalli main",1
"venkatesayya purchase",1
"vidyalashala trust",1
"vishakante gowda",1
"ward baghavadheerahalli",1
"ward bangalore",1
"ward d",1
"ward gorugentepalya",1
"wardha jahahalli",1
"wardha rajarajeshwarnagar",1
"ward heal",1
"ward m",1
"ward marappa",1
"ward ns",1
"ward peena",1
"ward rajarajeshwarnagar",1
"ward rajeshwari",1
"ward three",1
"west bangalore",1
"work ayyappaswamy",1
"work balaji",1
"work bangalore",1
"work bangarappanagar",1
"work bmtc",1
"work chowdeshwari",1
"work deepa",1
"work kankunte",1
"work lakgere",1
"work muttilanagar",1
"work nandanahalli",1
"work peenya",1
"work rajarajeshwari",1
"works bmml",1
"works bus",1
"works chanasandra",1
"work shanimahatma",1
"workshop dipa",1
"workshop wardha",1
"work sumanahalli",1
"work ward",1
"wrestlemania s",1
